$,381010784,57201,54292,62.48,28.11,0.00,0.00,
$,381020788,57220,54300,59.35,24.99,0.00,0.00,
$,381030796,57238,54308,56.21,24.98,0.00,0.00,
$,381040804,57256,54316,56.21,24.98,0.00,0.00,
$,381050812,57273,54323,53.08,21.86,0.00,0.00,
$,381060816,57290,54329,53.10,18.74,0.00,0.00,
$,381070820,57305,54335,46.86,18.74,0.00,0.00,
$,381080824,57321,54341,49.98,18.74,0.00,0.00,
$,381090828,57336,54346,46.86,15.62,0.00,0.00,
$,381100836,57350,54351,43.72,15.61,0.00,0.00,
$,381110844,57364,54355,43.72,12.49,0.00,0.00,
$,381120848,57377,54359,40.61,12.50,0.00,0.00,
$,381130856,57390,54362,40.59,9.37,0.00,0.00,
$,381140860,57403,54365,40.61,9.37,0.00,0.00,
$,381150864,57415,54368,37.49,9.37,0.00,0.00,
$,381160872,57426,54370,34.35,6.25,0.00,0.00,
$,381170876,57436,54372,31.24,6.25,0.00,0.00,
$,381180880,57447,54373,34.36,3.12,0.00,0.00,
$,381190888,57456,54375,28.10,6.25,0.00,0.00,
$,381200892,57466,54376,31.24,3.12,0.00,0.00,
$,381210900,57474,54377,24.98,3.12,0.00,0.00,
$,381220908,57483,54377,28.10,0.00,0.00,0.00,
$,381230916,57490,54377,21.86,0.00,0.00,0.00,
$,381240924,57497,54377,21.86,0.00,0.00,0.00,
$,381250928,57504,54377,21.87,0.00,0.00,0.00,
$,381260936,57511,54377,21.86,0.00,0.00,0.00,
$,381270940,57516,54377,15.62,0.00,0.00,0.00,
$,381280944,57522,54377,18.74,0.00,0.00,0.00,
$,381290948,57527,54377,15.62,0.00,0.00,0.00,
$,381300952,57531,54377,12.50,0.00,0.00,0.00,
$,381310960,57535,54377,12.49,0.00,0.00,0.00,
$,381320968,57539,54377,12.49,0.00,0.00,0.00,
$,381330976,57542,54377,9.37,0.00,0.00,0.00,
$,381340980,57545,54377,9.37,0.00,0.00,0.00,
$,381350988,57547,54377,6.25,0.00,0.00,0.00,
$,381360996,57549,54377,6.25,0.00,0.00,0.00,
$,381371000,57550,54377,3.12,0.00,0.00,0.00,
$,381381008,57551,54377,3.12,0.00,0.00,0.00,
$,381391016,57551,54377,0.00,0.00,0.00,0.00,
$,381401020,57552,54377,3.12,0.00,0.00,0.00,
$,381411024,57552,54377,0.00,0.00,0.00,0.00,
$,381421028,57552,54377,0.00,0.00,0.00,0.00,
$,381431036,57552,54377,0.00,0.00,0.00,0.00,
$,381441044,57552,54377,0.00,0.00,0.00,0.00,
$,381451048,57552,54377,0.00,0.00,0.00,0.00,
$,381461056,57552,54377,0.00,0.00,0.00,0.00,
$,381471060,57552,54377,0.00,0.00,0.00,0.00,
$,381481068,57552,54377,0.00,0.00,0.00,0.00,
$,381491076,57552,54377,0.00,0.00,0.00,0.00,
$,381501084,57552,54377,0.00,0.00,0.00,0.00,
$,381511092,57552,54377,0.00,0.00,0.00,0.00,
$,381521100,57552,54377,0.00,0.00,0.00,0.00,
$,381531108,57552,54377,0.00,0.00,0.00,0.00,
$,381541116,57552,54377,0.00,0.00,0.00,0.00,
$,381551124,57552,54377,0.00,0.00,0.00,0.00,
$,381561132,57552,54377,0.00,0.00,0.00,0.00,
$,381571140,57552,54377,0.00,0.00,0.00,0.00,
$,381581148,57552,54377,0.00,0.00,0.00,0.00,
$,381591156,57552,54377,0.00,0.00,0.00,0.00,
$,381601164,57552,54377,0.00,0.00,0.00,0.00,
$,381611172,57552,54377,0.00,0.00,0.00,0.00,
$,381621180,57552,54377,0.00,0.00,0.00,0.00,
$,381631188,57552,54377,0.00,0.00,0.00,0.00,
$,381641196,57552,54377,0.00,0.00,0.00,0.00,
$,381651204,57552,54377,0.00,0.00,0.00,0.00,
$,381661208,57552,54377,0.00,0.00,0.00,0.00,
$,381671216,57552,54377,0.00,0.00,0.00,0.00,
$,381681224,57552,54377,0.00,0.00,0.00,0.00,
$,381691232,57552,54377,0.00,0.00,0.00,0.00,
$,381701240,57552,54377,0.00,0.00,0.00,0.00,
$,381711248,57552,54377,0.00,0.00,0.00,0.00,
$,381721256,57552,54377,0.00,0.00,0.00,0.00,
$,381731264,57552,54377,0.00,0.00,0.00,0.00,
$,381741272,57552,54377,0.00,0.00,0.00,0.00,
$,381751276,57552,54377,0.00,0.00,0.00,0.00,
$,381761284,57552,54377,0.00,0.00,0.00,0.00,
$,381771288,57552,54377,0.00,0.00,0.00,0.00,
$,381781296,57552,54377,0.00,0.00,0.00,0.00,
$,381791300,57552,54377,0.00,0.00,0.00,0.00,
$,381801304,57552,54377,0.00,0.00,0.00,0.00,
$,381811308,57552,54377,0.00,0.00,0.00,0.00,
$,381821316,57552,54377,0.00,0.00,0.00,0.00,
$,381831324,57552,54377,0.00,0.00,0.00,0.00,
$,381841332,57552,54377,0.00,0.00,0.00,0.00,
$,381851340,57552,54377,0.00,0.00,0.00,0.00,
$,381861348,57552,54377,0.00,0.00,0.00,0.00,
$,381871356,57552,54377,0.00,0.00,0.00,0.00,
$,381881364,57552,54377,0.00,0.00,0.00,0.00,
$,381891372,57552,54377,0.00,0.00,0.00,0.00,
$,381901380,57552,54377,0.00,0.00,0.00,0.00,
$,381911388,57552,54377,0.00,0.00,0.00,0.00,
$,381921396,57552,54377,0.00,0.00,0.00,0.00,
$,381931404,57552,54377,0.00,0.00,0.00,0.00,
$,381941412,57552,54377,0.00,0.00,0.00,0.00,
$,381951420,57552,54377,0.00,0.00,0.00,0.00,
$,381961428,57552,54377,0.00,0.00,0.00,0.00,
$,381971436,57552,54377,0.00,0.00,0.00,0.00,
$,381981444,57552,54377,0.00,0.00,0.00,0.00,
$,381991452,57552,54377,0.00,0.00,0.00,0.00,
$,382001460,57552,54377,0.00,0.00,0.00,0.00,
$,382011468,57552,54377,0.00,0.00,0.00,0.00,
$,382021476,57552,54377,0.00,0.00,0.00,0.00,
$,382031484,57552,54377,0.00,0.00,0.00,0.00,
$,382041492,57552,54377,0.00,0.00,0.00,0.00,
$,382051500,57552,54377,0.00,0.00,0.00,0.00,
$,382061504,57552,54377,0.00,0.00,0.00,0.00,
$,382071512,57552,54377,0.00,0.00,0.00,0.00,
$,382081520,57552,54377,0.00,0.00,0.00,0.00,
$,382091528,57552,54377,0.00,0.00,0.00,0.00,
$,382101536,57552,54377,0.00,0.00,0.00,0.00,
$,382111544,57552,54377,0.00,0.00,0.00,0.00,
